Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Diameter
Northwest,1,1,Black spruce,softwood,0.33,35.33870204,0.418,49.54,0.0209,19.19,422.47,1429.46,143.1,71.82,2364.88,10.91686476,15.4
Northwest,1,1,Black spruce,softwood,0.46,36.69188446,0.458,49.07,0.0214,20.22,308.2,2141.74,245.64,88.87,2295.32,10.57440868,12.8
Northwest,1,1,Black spruce,softwood,0.31,46.42295597,0.48,49.37,0.022,19.67,340.93,1803.97,157.2,96.59,2245.19,11.17953904,14.85
Northwest,1,2,Black spruce,softwood,0.75,44.75721323,0.355,49.51,0.0408,27.96,335.33,1853.06,215.03,105.33,1214.77,14.57606639,7.75
Northwest,1,2,Black spruce,softwood,0.87,41.56791249,0.365,49.64,0.0234,21.08,74.3,1406.55,176.37,83,2125.01,11.07986817,11.05
Northwest,1,2,Black spruce,softwood,0.66,45.18072289,0.394,49.56,0.033,25.15,85.93,1486.96,152.77,70.81,1500.4,13.13040996,10.95
Northwest,1,3,Black spruce,softwood,0.92,79.19933966,0.206,52.24,0.1613,119.83,302.03,2732.47,227.08,167.28,323.8,13.46310748,11.25
Northwest,1,3,Black spruce,softwood,1.95,61.208577,0.309,50.53,0.0798,43.4,105.16,2100.85,165.21,175.65,632.89,18.39756298,9.7
Northwest,1,3,Black spruce,softwood,1.28,74.76244774,0.232,49.93,0.0959,76.67,407.47,3454.05,216.1,133.06,520.75,12.50559947,11.55
Northwest,1,4,Black spruce,softwood,0.4,77.00047916,0.176,52.17,0.1049,62.85,54.42,2148.67,193.52,160.78,497.17,16.69850476,17.75
Northwest,1,4,Black spruce,softwood,0.97,52.43741765,0.18,51.88,0.1318,75.1,320.03,2973.55,319.55,109.47,393.47,17.55769645,8.85
Northwest,1,4,Black spruce,softwood,0.57,60.51571313,0.063,50.03,0.1985,129.18,248,3220.9,335.35,359.11,252.09,15.36262482,12.25
Northwest,1,5,Black spruce,softwood,1.78,69.67095851,0.089,49.02,0.2322,110.18,808.56,5880.29,538.45,307.35,211.13,21.07305423,16.75
Northwest,1,5,Black spruce,softwood,0.59,32.36481033,0.201,52.36,0.0961,50.75,53.83,1861.55,238.99,152.75,544.75,18.93873937,9
Northwest,1,5,Black spruce,softwood,0.93,79.38718663,0.089,50.72,0.3021,185.92,488.63,2600.87,332.56,197.81,167.88,16.25102927,8.75
Northwest,1,1,Trembling aspen,hardwood,1.08,42.53424658,0.359,48.42,0.0311,22,533.49,2516.15,644.67,1,1556.69,14.13778926,16.9
Northwest,1,1,Trembling aspen,hardwood,0.84,58.26310004,0.399,49.66,0.0914,121.33,2968.29,3813.36,762.98,1,543.08,7.537106312,14.4
Northwest,1,1,Trembling aspen,hardwood,0.69,49.2,0.436,48.81,0.0811,60.77,3172.99,5261.31,1014.03,1,601.67,13.34914706,13.75
Northwest,1,2,Trembling aspen,hardwood,0.96,38.64118896,0.305,48.59,0.0669,106.66,965.2,5889.77,984.33,1,725.94,6.275556305,17.85
Northwest,1,2,Trembling aspen,hardwood,0.98,54.25219941,0.387,48.28,0.0354,21.59,772.21,2848.46,457.59,1,1363.49,16.40106152,18.8
Northwest,1,2,Trembling aspen,hardwood,0.84,62.55458515,0.258,48,0.1101,195.09,1286.99,3425.45,378.78,1,436.14,5.641035154,16
Northwest,1,3,Trembling aspen,hardwood,0.73,79.56128134,0.108,50.08,0.2579,146.7,355.54,6241.14,1035.81,48.48,194.21,17.57687925,8.4
Northwest,1,3,Trembling aspen,hardwood,0.86,72.34774067,0.197,49.76,0.1789,104.3,294.52,4654.77,569.98,0.99,278.13,17.15289148,9.65
Northwest,1,3,Trembling aspen,hardwood,0.73,55.53745928,0.198,47.36,0.1088,69.11,803.98,1227.35,223.69,0.94,435.27,15.74435877,14.65
Northwest,1,4,Trembling aspen,hardwood,0.53,56.6590389,0.366,50.31,0.2425,91.61,288.53,5964.27,569.58,21.55,207.44,26.4720966,8
Northwest,1,4,Trembling aspen,hardwood,0.99,78.09204219,0.172,47.62,0.436,249.64,510.01,7659.71,619.06,61.48,109.2,17.46674025,13.15
Northwest,1,4,Trembling aspen,hardwood,0.38,66.8303095,0.143,48.29,0.3523,275.6,435.84,11995.29,1148.23,11.7,137.06,12.78258043,8.3
Northwest,1,5,Trembling aspen,hardwood,1.12,86.53631285,0.1,49.64,0.1798,111.13,208.26,9519.5,860,5.03,275.99,16.18360914,11.5
Northwest,2,1,Black spruce,softwood,0.51,86.17276545,0.395,49.63,0.0279,37.17,458.86,2212.09,190.11,177.01,1781.09,7.495546486,15.4
Northwest,2,1,Black spruce,softwood,0.24,87.6702509,0.366,49.49,0.0376,47.13,503.03,2403.76,328.59,161.65,1315.92,7.980122062,15.4
Northwest,2,1,Black spruce,softwood,0.36,51.22540559,0.398,49.34,0.0272,33.91,477.4,1937.97,213.36,175.46,1812.34,8.027984862,13.6
Northwest,2,2,Black spruce,softwood,0.21,39.82999393,0.493,50.5,0.0528,44.96,468.02,1868.03,173.51,220.55,955.82,11.75000004,10.2
Northwest,2,2,Black spruce,softwood,0.5,43.70883882,0.386,50.44,0.0372,32.32,815.34,1899.1,201.14,185.4,1355.75,11.51231303,12
Northwest,2,2,Black spruce,softwood,1.09,27.83346184,0.409,49.39,0.0183,17.49,218.25,1786.19,152.74,196.06,2703.21,10.44658918,13.2
Northwest,2,3,Black spruce,softwood,0.78,27.61087268,0.261,48.65,0.0376,26.97,48.19,1569.62,202.19,138.91,1293.35,13.94535274,12.65
Northwest,2,3,Black spruce,softwood,0.43,28.06682578,0.239,50.18,0.0899,66.95,470.2,2695.31,418.46,199.76,558.31,13.42526335,13.65
Northwest,2,3,Black spruce,softwood,2.21,69.44600939,0.213,48.99,0.0556,42.31,72.73,1872.58,330.81,309.07,880.45,13.15022295,10.3
Northwest,2,4,Black spruce,softwood,0.75,70.81362346,0.178,49.25,0.1607,91.65,108.99,3305.08,293.28,342.34,306.53,17.52928888,9.45
Northwest,2,4,Black spruce,softwood,0.9,50.47887324,0.12,45.66,0.1306,76.07,944.67,2579.02,228.44,318.1,349.73,17.16149011,13.35
Northwest,2,5,Black spruce,softwood,1.52,61.95039459,0,51.49,0.2213,140.5,2289.81,4789.28,882.08,481.76,232.67,15.7523507,20.95
Northwest,2,5,Black spruce,softwood,0.64,80.8040201,0.125,52.91,0.136,84.47,324.63,1715.25,286.94,75.28,388.92,16.10539323,9.15
Northwest,2,5,Jack pine,softwood,0.78,76.56662665,0.136,49.5,0.1516,97.08,227.64,2331.6,382.31,114.71,326.4,15.62003268,9
Northwest,2,1,Trembling aspen,hardwood,0.28,72.18208092,0.434,49.68,0.067,46.68,668.27,7492.27,1024.95,8.81,741.95,14.3451311,10
Northwest,2,1,Trembling aspen,hardwood,0.89,83.63780778,0.342,46.29,0.1042,39.88,5607.25,5787,1191.73,40.08,444.12,26.13745962,9.75
Northwest,2,1,Trembling aspen,hardwood,0.75,57.01112878,0.458,49.43,0.0794,54.66,787.4,5557.25,780.67,5.1,622.52,14.52797804,9.35
Northwest,2,2,Trembling aspen,hardwood,1.2,47.7553034,0.304,49.47,0.1009,39.8,159.6,4417.64,697.11,41.46,490.44,25.34458379,9
Northwest,2,2,Trembling aspen,hardwood,0.9,58.12558326,0.286,49.35,0.0522,29.11,2295.86,2465.86,1108.46,6.58,945.46,17.9297523,8.9
Northwest,2,2,Trembling aspen,hardwood,0.53,50.78431373,0.209,48.32,0.0921,36.72,593.19,5584.17,1050.36,33.96,524.88,25.07520638,8.2
Northwest,2,3,Trembling aspen,hardwood,0.81,37.85796105,0.357,49.54,0.1403,80.35,1746.38,4834.89,743.99,13.51,353.24,17.4554479,10.35
Northwest,2,3,Trembling aspen,hardwood,2,54.79452055,0.22,49.61,0.1098,67.44,1104.88,5547.33,1060.1,1,451.68,16.28616975,9.25
Northwest,2,3,Trembling aspen,hardwood,1.31,72.27059612,0.197,47.84,0.1359,104.63,915.95,7983.84,1549.62,66.4,351.91,12.99272143,10.1
Northwest,2,4,Trembling aspen,hardwood,0.12,79.93465832,0.101,45.7,0.1917,176.1,918.47,16316.23,1432.06,84.34,238.41,10.88403085,10.75
Northwest,2,4,Trembling aspen,hardwood,0.94,60.36191297,0.133,47.74,0.2652,192.3,534.36,6828.47,871.33,61.87,180.02,13.79011088,10.25
