Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,1,1,Sb,softwood,0.33,35.33870204,0.418,49.54,0.0209,19.19,422.47,1429.46,143.1,71.82,2364.88,10.91686476,3765.07765,1.588415884,0.145845458,3.210804108,10.86400464,1.087570876,0.545837458,16.3,14.5,262.0
3W,1,1,Sb,softwood,0.46,36.69188446,0.458,49.07,0.0214,20.22,308.2,2141.74,245.64,88.87,2295.32,10.57440868,4086.233589,1.782054184,0.168379138,2.566491119,17.83503144,2.045531728,0.740052128,13.7,11.9,270.0
3W,1,1,Sb,softwood,0.31,46.42295597,0.48,49.37,0.022,19.67,340.93,1803.97,157.2,96.59,2245.19,11.17953904,4308.697632,1.9200192,0.171667171,2.975418845,15.74389562,1.371940992,0.842975702,16.0,13.7,321.0
3W,1,2,Sb,softwood,0.75,44.75721323,0.355,49.51,0.0408,27.96,335.33,1853.06,215.03,105.33,1214.77,14.57606639,3195.677411,2.63348088,0.180470896,2.164424371,11.96077961,1.387934788,0.679864071,9.0,6.5,275.0
3W,1,2,Sb,softwood,0.87,41.56791249,0.365,49.64,0.0234,21.08,74.3,1406.55,176.37,83,2125.01,11.07986817,3294.323852,1.55292462,0.139895944,0.493086749,9.334470617,1.170467159,0.55082369,13.1,9.0,260.0
3W,1,2,Sb,softwood,0.66,45.18072289,0.394,49.56,0.033,25.15,85.93,1486.96,152.77,70.81,1500.4,13.13040996,3550.333685,2.36402364,0.180167256,0.615577428,10.65214725,1.094399671,0.507262163,12.0,9.9,250.0
3W,1,3,Sb,softwood,0.92,79.19933966,0.206,52.24,0.1613,119.83,302.03,2732.47,227.08,167.28,323.8,13.46310748,1956.645021,6.041478596,0.448822306,1.131250949,10.23444453,0.850526323,0.626545902,13.0,9.5,285.0
3W,1,3,Sb,softwood,1.95,61.208577,0.309,50.53,0.0798,43.4,105.16,2100.85,165.21,175.65,632.89,18.39756298,2838.895661,4.483353924,0.243831529,0.590813908,11.8030753,0.9281891,0.986843505,11.0,8.4,266.0
3W,1,3,Sb,softwood,1.28,74.76244774,0.232,49.93,0.0959,76.67,407.47,3454.05,216.1,133.06,520.75,12.50559947,2106.159243,4.045276816,0.323411234,1.718799733,14.56995661,0.911558206,0.561276885,10.5,12.6,219.0
3W,1,4,Sb,softwood,0.4,77.00047916,0.176,52.17,0.1049,62.85,54.42,2148.67,193.52,160.78,497.17,16.69850476,1669.456694,3.356833568,0.201122011,0.174145741,6.875812757,0.619270193,0.514501145,22.0,13.5,175.0
3W,1,4,Sb,softwood,0.97,52.43741765,0.18,51.88,0.1318,75.1,320.03,2973.55,319.55,109.47,393.47,17.55769645,1697.907888,4.31349768,0.245784276,1.047381383,9.731715498,1.045810458,0.358269037,9.8,7.9,232.0
3W,1,4,Sb,softwood,0.57,60.51571313,0.063,50.03,0.1985,129.18,248,3220.9,335.35,359.11,252.09,15.36262482,573.0766398,2.27375001,0.147971298,0.284075568,3.689431439,0.384132023,0.411348295,11.5,13.0,157.0
3W,1,5,Sb,softwood,1.78,69.67095851,0.089,49.02,0.2322,110.18,808.56,5880.29,538.45,307.35,211.13,21.07305423,793.2406596,3.757455756,0.178293056,1.308410175,9.515473517,0.871318713,0.497353155,17.5,16.0,340.0
3W,1,5,Sb,softwood,0.59,32.36481033,0.201,52.36,0.0961,50.75,53.83,1861.55,238.99,152.75,544.75,18.93873937,1913.539135,3.512053302,0.185470037,0.196726149,6.803187122,0.873408552,0.558237401,10.5,7.5,187.0
3W,1,5,Sb,softwood,0.93,79.38718663,0.089,50.72,0.3021,185.92,488.63,2600.87,332.56,197.81,167.88,16.25102927,820.7500256,4.888576158,0.300855372,0.790700089,4.208722632,0.538147927,0.320095746,10.0,7.5,155.0
3W,1,1,Po,hardwood,1.08,42.53424658,0.359,48.42,0.0311,22,533.49,2516.15,644.67,1,1556.69,14.13778926,3160.53706,2.030002118,0.143601436,3.48226955,16.42376151,4.207978988,0.006527338,18.0,15.8,291.0
3W,1,1,Po,hardwood,0.84,58.26310004,0.399,49.66,0.0914,121.33,2968.29,3813.36,762.98,1,543.08,7.537106312,3602.643299,6.630720852,0.880202802,21.53381006,27.6644701,5.535128442,0.007254618,14.8,14.0,188.0
3W,1,1,Po,hardwood,0.69,49.2,0.436,48.81,0.0811,60.77,3172.99,5261.31,1014.03,1,601.67,13.34914706,3869.340511,6.429082472,0.481745181,25.15340862,41.70825635,8.038572749,0.007927352,14.5,13.0,210.0
3W,1,2,Po,hardwood,0.96,38.64118896,0.305,48.59,0.0669,106.66,965.2,5889.77,984.33,1,725.94,6.275556305,2694.563309,3.70994619,0.591484097,5.352526252,32.66177843,5.458611858,0.00554551,18.0,17.7,195.2
3W,1,2,Po,hardwood,0.98,54.25219941,0.387,48.28,0.0354,21.59,772.21,2848.46,457.59,1,1363.49,16.40106152,3397.190335,2.490897636,0.15191661,5.433604699,20.04300079,3.219801834,0.007036434,20.1,17.5,193.0
3W,1,2,Po,hardwood,0.84,62.55458515,0.258,48,0.1101,195.09,1286.99,3425.45,378.78,1,436.14,5.641035154,2251.65888,5.164742556,0.915158606,6.037213462,16.06863523,1.776840314,0.004690956,17.0,15.0,271.5
3W,1,3,Po,hardwood,0.73,79.56128134,0.108,50.08,0.2579,146.7,355.54,6241.14,1035.81,48.48,194.21,17.57687925,983.3989248,5.064268824,0.288068335,0.698158254,12.25545201,2.033974521,0.095198043,9.0,7.8,210.0
3W,1,3,Po,hardwood,0.86,72.34774067,0.197,49.76,0.1789,104.3,294.52,4654.77,569.98,0.99,278.13,17.15289148,1782.33055,6.407936806,0.373587372,1.05492764,16.67270654,2.041585143,0.003546035,11.5,7.8,222.0
3W,1,3,Po,hardwood,0.73,55.53745928,0.198,47.36,0.1088,69.11,803.98,1227.35,223.69,0.94,435.27,15.74435877,1704.97705,3.916839168,0.248798488,2.894356943,4.418504185,0.805292053,0.003384034,14.8,14.5,207.5
3W,1,4,Po,hardwood,0.53,56.6590389,0.366,50.31,0.2425,91.61,288.53,5964.27,569.58,21.55,207.44,26.4720966,3347.935297,16.1374341,0.609629005,1.9200552,39.68990271,3.790333903,0.143406889,8.5,7.5,208.0
3W,1,4,Po,hardwood,0.99,78.09204219,0.172,47.62,0.436,249.64,510.01,7659.71,619.06,61.48,109.2,17.46674025,1489.222165,13.63504544,0.780700171,1.594956313,23.95424172,1.935988814,0.19226665,15.8,10.5,192.0
3W,1,4,Po,hardwood,0.38,66.8303095,0.143,48.29,0.3523,275.6,435.84,11995.29,1148.23,11.7,137.06,12.78258043,1255.552555,9.159891598,0.716567166,1.133195332,31.18806588,2.985427854,0.030420304,9.1,7.5,211.0
3W,1,5,Po,hardwood,1.12,86.53631285,0.1,49.64,0.1798,111.13,208.26,9519.5,860,5.03,275.99,16.18360914,902.55448,3.2691236,0.202056566,0.378658332,17.3083549,1.563652,0.009145546,11.5,11.5,84.0
3W,2,1,Sb,softwood,0.51,86.17276545,0.395,49.63,0.0279,37.17,458.86,2212.09,190.11,177.01,1781.09,7.495546486,3564.372007,2.00374731,0.266950851,3.295482045,15.88698705,1.365349108,1.271266349,15.6,15.2,244.5
3W,2,1,Sb,softwood,0.24,87.6702509,0.366,49.49,0.0376,47.13,503.03,2403.76,328.59,161.65,1315.92,7.980122062,3293.367479,2.502134112,0.313631864,3.347469474,15.99609014,2.186638957,1.07571803,19.3,11.5,257.0
3W,2,1,Sb,softwood,0.36,51.22540559,0.398,49.34,0.0272,33.91,477.4,1937.97,213.36,175.46,1812.34,8.027984862,3570.457522,1.968310592,0.245387545,3.454674546,14.02399587,1.543965985,1.269705061,14.4,12.8,306.0
3W,2,2,Sb,softwood,0.21,39.82999393,0.493,50.5,0.0528,44.96,468.02,1868.03,173.51,220.55,955.82,11.75000004,4526.68163,4.732847328,0.403009121,4.195203043,16.74450908,1.555296098,1.976949769,11.2,9.2,239.0
3W,2,2,Sb,softwood,0.5,43.70883882,0.386,50.44,0.0372,32.32,815.34,1899.1,201.14,185.4,1355.75,11.51231303,3540.006309,2.610789744,0.226829905,5.722261586,13.32836237,1.411651207,1.301183921,13.2,10.8,240.0
