SampleName,Region,Site,DecayClass,WoodType,TreeSpecies,mgCO2.g.d,MoistureContent,Density,TotalCarbon,TotalNitrogen,Phosphorous,Potassium,Calcium,Magnesium,Manganese,C.N,N.P,Diameter
Northeast_1_1_hardwood_Po,Northeast,1,1,hardwood,Po,0.65,57.84640869,0.379666667,48.3,0.0691,112.5333333,1341.43,4548.343333,528.3433333,13.45333333,708.8633333,7.49075239,9.833333333
Northeast_1_1_softwood_Pj,Northeast,1,1,softwood,Pj,0.306666667,53.48328167,0.462333333,50.13333333,0.027766667,45.35666667,310.37,1208.18,201.12,93.52666667,1817.02,8.639679088,10.08333333
Northeast_1_2_hardwood_Po,Northeast,1,2,hardwood,Po,0.37,50.07148488,0.439333333,47.54333333,0.0566,50.99333333,2458.323333,6542.733333,682.0033333,29.07666667,912.32,10.97572963,10.91666667
Northeast_1_2_softwood_Pj,Northeast,1,2,softwood,Pj,0.323333333,64.06661344,0.321666667,49.61,0.033533333,53.59,97.43666667,1096.116667,231.6766667,85.13,1508.23,9.423214824,13.95
Northeast_1_3_hardwood_Po,Northeast,1,3,hardwood,Po,0.53,64.64157209,0.35,46.83,0.043866667,23.70666667,526.0966667,3973.513333,523.5833333,2.27,1451.043333,17.57906883,8.8
Northeast_1_3_softwood_Pj,Northeast,1,3,softwood,Pj,1,64.70364744,0.289666667,49.61666667,0.0674,69.60666667,205.4033333,1214.54,228.67,81.97,960.6,16.76973295,10.11666667
Northeast_1_4_hardwood_Po,Northeast,1,4,hardwood,Po,0.89,75.12821531,0.177666667,48.94666667,0.305466667,324.26,1096.896667,9672.336667,740.9266667,52.62333333,202.62,9.303341586,9.433333333
Northeast_1_4_softwood_Pj,Northeast,1,4,softwood,Pj,0.896666667,69.85761179,0.121,50.12333333,0.1761,87.96666667,386.3433333,2719.323333,529.5066667,310.6766667,320.04,22.42006737,9.983333333
Northeast_1_5_hardwood_Po,Northeast,1,5,hardwood,Po,1.71,87.2977669,0.088,43.41,0.344033333,278.49,774.2233333,10579.60667,803.0033333,171.3566667,130.4833333,12.35970067,8.416666667
Northeast_1_5_softwood_Pj,Northeast,1,5,softwood,Pj,1.24,84.8895426,0.158666667,50.62666667,0.129,141.9433333,222.6233333,1087.603333,216.2433333,54.75666667,400.4766667,10.9546678,13.43333333
Northeast_2_1_softwood_Pj,Northeast,2,1,softwood,Pj,0.773333333,57.41126491,0.332,51.56,0.0299,16.03666667,129.7833333,825.3933333,148.9866667,29.51,2200.173333,18.53183721,14.63333333
Northeast_2_2_hardwood_Po,Northeast,2,2,hardwood,Po,0.46,66.28733934,0.289333333,48.83,0.101366667,55.55666667,525.6133333,5470.96,373.7566667,6.093333333,498.34,18.79160643,9.816666667
Northeast_2_2_softwood_Pj,Northeast,2,2,softwood,Pj,0.746666667,58.07523701,0.341666667,50.37333333,0.032833333,17.23666667,69.67666667,803.59,141.0266667,20.36333333,1699.563333,18.92401032,11.43333333
Northeast_2_3_hardwood_Po,Northeast,2,3,hardwood,Po,1.463333333,83.44743837,0.161333333,45.91666667,0.1298,81.39666667,581.56,5260.546667,580.5333333,2.04,363.7833333,17.21359664,12.76666667
Northeast_2_3_softwood_Pj,Northeast,2,3,softwood,Pj,0.426666667,60.47222387,0.179,47.61333333,0.0979,52.47333333,550.93,1582.816667,381.66,102.6533333,543.5033333,18.27732783,12.23333333
Northeast_2_4_hardwood_Po,Northeast,2,4,hardwood,Po,0.746666667,71.86165849,0.153666667,49.86333333,0.243333333,173.4333333,1784.65,6840.573333,926.44,3.923333333,236.3633333,15.75748052,10.48333333
Northeast_2_4_softwood_Pj,Northeast,2,4,softwood,Pj,0.47,70.83753682,0.26,51.18333333,0.080066667,55.36,168.28,1473.666667,328.32,74.50333333,671.66,15.2777417,11.48333333
Northeast_2_5_hardwood_Po,Northeast,2,5,hardwood,Po,1.36,85.78748259,0.097666667,48.61666667,0.3394,221.32,397.8033333,6982.86,446.4466667,9.943333333,146.88,15.40830469,10.53333333
Northeast_2_5_softwood_Pj,Northeast,2,5,softwood,Pj,0.986666667,88.94346859,0.107666667,49.46,0.2934,194.68,447.71,4214.89,302.23,2.666666667,179.2333333,15.25020626,17.06666667
Northeast_3_1_hardwood_Po,Northeast,3,1,hardwood,Po,0.336666667,57.54292407,0.359,49.03,0.064266667,44.72333333,886.8733333,4851.153333,652.5666667,6.7,849.1166667,13.97127045,11.55
Northeast_3_1_softwood_Pj,Northeast,3,1,softwood,Pj,0.293333333,54.80640919,0.439,51.54666667,0.039466667,24.79666667,106.34,1405.966667,161.1633333,62.06666667,1393.393333,16.03556312,9.75
Northeast_3_2_hardwood_Po,Northeast,3,2,hardwood,Po,0.723333333,68.02739136,0.326666667,48.53666667,0.0696,38.84,355.99,2536.513333,359.8466667,2.463333333,847.0133333,19.50683559,12.46666667
Northeast_3_2_softwood_Pj,Northeast,3,2,softwood,Pj,0.623333333,50.17354975,0.459333333,51.31333333,0.0375,16.35,117.0033333,1051.286667,222.9666667,69.46666667,1457.816667,23.30887937,9.316666667
Northeast_3_3_hardwood_Po,Northeast,3,3,hardwood,Po,0.806666667,84.76796264,0.172,49.06333333,0.1626,84.17333333,1041.43,5603.046667,975.7466667,49.73333333,345.6833333,19.35305608,9.466666667
